,CHAN1,CHAN2,CHAN3,CHAN4,time
430,-9.976,4.24,-6.0,6.0544,-8.499999999999998e-05
431,-9.628,4.4,-6.08,5.913600000000001,-8.45e-05
432,-9.976,4.4,-6.16,6.0544,-8.399999999999998e-05
433,-9.628,4.24,-5.92,5.984,-8.35e-05
434,-9.976,4.4,-6.08,6.0544,-8.299999999999998e-05
435,-9.628,4.32,-6.0,5.984,-8.249999999999997e-05
436,-9.976,4.4,-6.0,6.0544,-8.199999999999999e-05
437,-9.628,4.32,-6.08,5.913600000000001,-8.149999999999998e-05
438,-9.628,4.32,-6.0,5.984,-8.099999999999999e-05
439,-9.976,4.48,-6.16,6.0544,-8.049999999999998e-05
440,-9.628,4.32,-6.0,6.0544,-7.999999999999999e-05
441,-9.976,4.5600000000000005,-6.08,5.984,-7.949999999999998e-05
